"City","Observations","Species","People","City_name","place_id","Year"
"Inland Empire, California, USA",10899,1835,485,"Inland Empire","520,917",2020
"Los Angeles County, California, USA",19134,2494,1568,"Los Angeles County","962",2020
"Mendocino County, California, USA",1407,624,106,"Mendocino County","436",2020
"Orange County, California, USA",3921,1078,281,"Orange County","2738",2020
"Sacramento, California, USA",8703,1654,742,"Sacramento","139279",2020
"San Diego County, California, USA",17213,2409,920,"San Diego County","829",2020
"San Francisco Bay Area, California, USA",31450,2975,2496,"San Francisco Bay Area","54321",2020
"Los Angeles County, CA, USA",34125,3249,1555,"Los Angeles County","962",2019
"Sacramento Region, CA, USA",9798,1279,536,"Sacramento","139279",2019
"San Diego County, CA, USA",38241,3019,1188,"San Diego County","829",2019
"San Francisco Bay Area, CA, USA",38028,3183,1947,"San Francisco Bay Area","54321",2019
